 102.0  1  10.10  463877632.0000     136900.9375      21534.6172          0.0001
 102.0  2  10.10  317941120.0000     182116.5469      17825.7676          0.0001
 102.0  3  10.10  247807472.0000     591720.8750      15723.1064          0.0001
 102.0  1  10.20  423061984.0000     136900.9375      20565.1152          0.0001
 102.0  2  10.20  289966112.0000     182116.5469      17023.0156          0.0001
 102.0  3  10.20  226003360.0000     591720.8750      15013.7295          0.0001
 102.0  1  10.30  385836768.0000     136900.9375      19639.2168          0.0001
 102.0  2  10.30  264451952.0000     182116.5469      16256.3477          0.0001
 102.0  3  10.30  206117328.0000     591720.8750      14336.1855          0.0001
 102.0  1  10.40  351887648.0000     136900.9375      18754.9902          0.0001
 102.0  2  10.40  241183360.0000     182116.5469      15524.1826          0.0001
 102.0  3  10.40  187981456.0000     591720.8750      13689.0645          0.0001
 102.0  1  10.50  320925088.0000     136900.9375      17910.5312          0.0001
 102.0  2  10.50  219961632.0000     182116.5469      14824.9307          0.0001
 102.0  3  10.50  171440960.0000     591720.8750      13070.9668          0.0001
 102.0  1  10.60  292687168.0000     136900.9375      17104.0703          0.0001
 102.0  2  10.60  200607392.0000     182116.5469      14157.1299          0.0001
 102.0  3  10.60  156356016.0000     591720.8750      12480.6016          0.0001
 102.0  1  10.70  266933872.0000     136900.9375      16333.8896          0.0001
 102.0  2  10.70  182956128.0000     182116.5469      13519.3604          0.0001
 102.0  3  10.70  142598384.0000     591720.8750      11916.7119          0.0001
 102.0  1  10.80  243446640.0000     136900.9375      15598.3564          0.0001
 102.0  2  10.80  166858016.0000     182116.5469      12910.2676          0.0001
 102.0  3  10.80  130051296.0000     591720.8750      11378.1006          0.0001
 102.0  1  10.90  222025984.0000     136900.9375      14895.9072          0.0001
 102.0  2  10.90  152176320.0000     182116.5469      12328.5576          0.0001
 102.0  3  10.90  118608192.0000     591720.8750      10863.6230          0.0001
 102.0  1  11.00  202490112.0000     136900.9375      14225.0557          0.0001
 102.0  2  11.00  138786448.0000     182116.5469      11772.9971          0.0001
 102.0  3  11.00  108171960.0000     591720.8750      10372.1914          0.0001
 102.0  1  11.10  184673200.0000     136900.9375      13584.3770          0.0001
